permitnum,comment_n_rows,comment_max_cycle,comment_n_distinct_cycles,comment_n_review_types,comment_n_subjects,comment_has_structural,comment_has_eca,comment_has_fire,comment_has_design_review,comment_has_geotech,comment_avg_length,comment_repeated_correction_rate,comment_unresolved_rate,comment_partial_rate,comment_resubmit_rate,comment_tfidf_23,comment_tfidf_23_44,comment_tfidf_44,comment_tfidf_area,comment_tfidf_building,comment_tfidf_code,comment_tfidf_drainage,comment_tfidf_floor,comment_tfidf_new,comment_tfidf_note,comment_tfidf_permit,comment_tfidf_plan,comment_tfidf_plans,comment_tfidf_project,comment_tfidf_proposed,comment_tfidf_provide,comment_tfidf_required,comment_tfidf_review,comment_tfidf_seattle,comment_tfidf_shall,comment_tfidf_sheet,comment_tfidf_site,comment_tfidf_smc,comment_tfidf_smc_23,comment_tfidf_src,comment_tfidf_stormwater,comment_tfidf_tree,comment_tfidf_trees,comment_tfidf_update,comment_tfidf_wall
7048319-CN,39,3,3,5,17,0,0,0,0,0,330.6666666666667,0.0,0.0,0.0,0.05128205128205128,0.2049812660628621,0.21825721620255356,0.20820251380833804,0.05731485725415373,0.13465444149133426,0.20988824449792567,0.23882062227023068,0.13064908422984187,0.0973181714989655,0.2104831092062386,0.13801284379698706,0.2482447278075048,0.09581240408650495,0.16022926775376853,0.09690496809242408,0.16678345558902155,0.19693825577513877,0.16013949727489266,0.18403100291287602,0.1778459410004879,0.24724570273392935,0.2068054510485479,0.19946215717254895,0.20852660957588778,0.24805818173808986,0.29787904809854754,0.13841440541473432,0.0,0.17223375350021589,0.06881119016605848
7048390-CN,13,2,2,5,9,0,0,0,0,0,391.84615384615387,0.0,0.0,0.0,0.15384615384615385,0.19445400436066593,0.18431974319261,0.17582847680781388,0.0,0.0,0.14468511777361756,0.2993823190543744,0.0,0.08828353732448105,0.0,0.3432241038724078,0.24506483499246637,0.08691755940368377,0.17532145261919405,0.245419929147907,0.1745796878430035,0.17806945577113467,0.24596819728836034,0.1985114291550372,0.0,0.22874271272868646,0.18318326409504118,0.18035154030817857,0.19781726899544735,0.09213118044221438,0.3062605830202,0.10130469591176497,0.2496313067992279,0.08980060592459393,0.0
7048604-CN,28,2,2,7,14,0,1,0,0,1,335.89285714285717,0.0,0.0,0.0,0.35714285714285715,0.2799686563499934,0.2815389804644385,0.2685690053580316,0.2027764484452503,0.06044953282173533,0.1422227097320659,0.0,0.18618660679874866,0.14693306044776527,0.12543140320784454,0.0704504179679232,0.19714568401919863,0.23237333870389837,0.1390409246406796,0.19602919424043466,0.18550278206274343,0.17433817680858757,0.2480203042242907,0.09823629990272374,0.16284943483296807,0.10351678958390623,0.1588606492659152,0.2574845698589776,0.27736043937148014,0.15333681358150578,0.1515575531848009,0.14827829116660882,0.17410643930264977,0.192871036615671,0.0
7048656-CN,21,1,1,5,7,0,1,0,0,1,541.7619047619048,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.16088289754397142,0.06637664805201834,0.23330318466338304,0.3132352985881915,0.0,0.17642691735813193,0.20210097174986746,0.238219827907024,0.26063554230287456,0.15884358856251748,0.18847792734659466,0.17567782597946008,0.15202803001817203,0.19143214618679935,0.2723388531686201,0.22711876487655006,0.17881692573629573,0.1136666767954772,0.20585607965847247,0.17174051626116052,0.0,0.14807338315152885,0.36446081923410717,0.0,0.08011488011937878,0.14432767999376622,0.2112149655818831
7048801-CN,63,4,4,5,17,0,0,0,0,0,486.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.25517366906247463,0.2888545092025681,0.2755475213476344,0.2068470692297221,0.11899610785868953,0.0943561007399675,0.0,0.2058245930441363,0.07864716301211193,0.17283428622383765,0.0,0.2063099985048671,0.2264281670485856,0.09224518023239625,0.20037770681085118,0.18100790513674606,0.18056480045713935,0.08397216015502185,0.1399404503496136,0.08716653698431509,0.1710230029642007,0.20509507944972533,0.23396731836421697,0.2566253433373031,0.16471200292952623,0.0,0.1641383883298534,0.15366029284315877,0.22710752203493492,0.2607457617397434
7048803-CN,40,2,2,6,22,0,0,0,0,0,573.6,0.0,0.0,0.0,0.225,0.2259623797998649,0.21929211279038693,0.2091897346428538,0.14206281896335615,0.16017879634684437,0.11787124837395059,0.11228677530269006,0.11599561854536475,0.17339813940484622,0.19792897923656397,0.16300484238884436,0.21321151412048706,0.17071521530469616,0.1348141768684122,0.18842223523232668,0.20090477084469227,0.1934626709892512,0.1521124305757598,0.14165624174730232,0.0957625907120242,0.18439278109039905,0.20406830095200423,0.21863173836322627,0.2276463750604989,0.17587955969509286,0.07418597481157145,0.24465738314508315,0.25510942031388917,0.15984753703466684,0.2341840303534075
7048903-CN,15,1,1,7,12,1,1,0,0,1,276.8,0.0,0.0,0.0,0.0,0.2187265339486252,0.2569768116862777,0.2451383698300324,0.227241400435324,0.08573732746953128,0.22058140312484803,0.0,0.09459048066413381,0.14786562198127393,0.177903000896758,0.2096972710760685,0.17269767439257164,0.0,0.13992339600218417,0.207514582119578,0.2534114545824466,0.20029680021758808,0.2225096147791609,0.19637142544469602,0.09679194876150957,0.18198068167701945,0.0,0.22183363147428087,0.2225096147791609,0.21748205462466347,0.0,0.34051193855939815,0.0,0.15040655202261866,0.0
7048905-CN,26,1,1,6,10,0,0,0,0,0,524.2692307692307,0.0,0.0,0.0,0.038461538461538464,0.1688973039570131,0.18547447599442318,0.17693001322570404,0.22032853347687587,0.09581464988713982,0.20303835578477286,0.29931990699820593,0.17429811628903735,0.18429472670203034,0.1723019885581731,0.18412206131647305,0.2474247309994281,0.13542273420096007,0.1853415872370775,0.09718216729920896,0.09196366118191038,0.18296637173274766,0.20325725047813084,0.20140356151844008,0.13407219163938947,0.18902287112197294,0.21846235601383207,0.17939933419438225,0.17181854145570183,0.10185008302178358,0.36880599826025584,0.0,0.0,0.18055572818490906,0.0
7049080-CN,16,2,2,5,9,0,0,0,0,0,520.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.14708965464098175,0.06900481080448138,0.1427787469347665,0.2383572423954977,0.15976773248979495,0.19622752587120065,0.21813915807787196,0.23691332684032043,0.22504724175094692,0.22124979145647156,0.18568766317083527,0.23114688703762146,0.1580475326226267,0.14177238177103543,0.12706586760490243,0.2187347184523447,0.16348611475825206,0.20559947440199342,0.2361379426717564,0.11584693823503676,0.0,0.0,0.214437880351894,0.322276147093729,0.23251728180499454,0.18656425541210186,0.2349198792549972
7049083-CN,20,2,2,3,16,0,0,0,0,0,382.15,0.0,0.0,0.05,0.25,0.19018272069391182,0.2043339679359804,0.194920683590235,0.14531797347397474,0.24303562507954077,0.1603956456529679,0.15279646284755016,0.07521319965114265,0.06944150660776187,0.0674058662623836,0.0,0.22803003760233925,0.1434759613459226,0.1834510725921961,0.1170754805256187,0.17074495390845415,0.21338789106340153,0.15559785672823925,0.1826749123347356,0.07696368720941475,0.22045139469881986,0.2392677356444564,0.17639002462263126,0.19347210946612747,0.1729298876607555,0.29738974963528825,0.23474074716927773,0.2717493163681003,0.0,0.2449054626513115
7049335-CN,52,4,4,5,18,0,0,0,0,0,456.4423076923077,0.0,0.0,0.019230769230769232,0.19230769230769232,0.17078230662695745,0.17730302917708754,0.1691350097045306,0.1811364545059792,0.09620029933135386,0.1445004965996648,0.25600177090115495,0.15573766763297475,0.1761514549480384,0.16493553352753398,0.15738173677329875,0.20166362873731744,0.1469764360855005,0.1693685956564095,0.1754035331557292,0.14949908574234158,0.18558876595194068,0.049853888346698925,0.18900632079722204,0.1883225825289198,0.20846957154834458,0.21760595680394482,0.15839659439682804,0.15939407709784154,0.1698106135924687,0.3147937692155408,0.21134007908249713,0.2051576363585343,0.13991549399121678,0.21746918014199934
